id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name
6152835,269b13f2-764d-47f9-9198-8fbfb26e8816,Mon May 08 2017 14:48:21 GMT-0400 (EDT),2017-05-08,2017-05-08 18:48:21 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-05-09 19:50:52 UTC,2025-10-27 20:08:29 UTC,research,,https://www.inaturalist.org/observations/6152835,https://static.inaturalist.org/photos/7712926/medium.jpg,,"",,3,0,false,3,"1361 Old Post Rd, Pound Ridge, NY, US",41.2467392999,-73.6144846216,16,,,,16,,,false,,,hairy Solomon's-seal,Polygonatum pubescens,hairy Solomon's-seal,Plantae,127322,Polygonatum pubescens,,,
7089248,a33a05e8-152c-46ea-83c0-c7326559939d,2017-07-17 11:32:49 AM EDT,2017-07-17,2017-07-17 15:32:49 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-17 15:33:36 UTC,2024-10-07 19:35:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7089248,https://inaturalist-open-data.s3.amazonaws.com/photos/9108342/medium.jpeg,,"",,2,0,false,2,"Westchester County, US-NY, US",41.22130685,-73.58831997,21,,,,21,,open,false,,,hedge bindweed,Calystegia sepium,hedge bindweed,Plantae,57481,Calystegia sepium,,,
7089628,498a0b4e-6ac9-4f87-bf44-2542f11415d3,2017-07-17 11:36:49 AM EDT,2017-07-17,2017-07-17 15:36:49 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-17 16:04:56 UTC,2023-04-29 17:51:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7089628,https://inaturalist-open-data.s3.amazonaws.com/photos/9108809/medium.jpeg,,"",,3,0,false,2,"Westchester County, US-NY, US",41.22114934,-73.58750825,15,,,,15,,,false,,,wild bergamot,Monarda fistulosa,wild bergamot,Plantae,85320,Monarda fistulosa,,,
7167121,a677c9c6-46ae-497a-955e-58f990e667bd,Tue Jun 20 2017 10:50:27 GMT-0400 (EDT),2017-06-20,2017-06-20 14:50:27 UTC,Eastern Time (US & Canada),543421,tinygiant03,George Johnson,2017-07-23 02:18:33 UTC,2019-01-12 17:39:03 UTC,research,,https://www.inaturalist.org/observations/7167121,https://static.inaturalist.org/photos/9233818/medium.jpg,,"",,1,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2368409971,-73.5835774138,2946,,,,2946,,,false,,,Lungwort,Pulmonaria officinalis,Lungwort,Plantae,167599,Pulmonaria officinalis,,,
7247454,ae3b2f4a-0f11-4d72-a6b0-5fd77c5ae157,2017-07-28 12:23:47 PM EDT,2017-07-28,2017-07-28 16:23:47 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 16:24:28 UTC,2017-07-28 16:42:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7247454,https://inaturalist-open-data.s3.amazonaws.com/photos/9363074/medium.jpeg,,"",,1,0,false,2,"58 Old Stone Hill Rd, Pound Ridge, NY 10576, USA",41.2251061,-73.5770571,23,,,,23,,,false,,,common yarrow,Achillea millefolium,common yarrow,Plantae,52821,Achillea millefolium,,,
7247742,aa5e6ee3-f1a6-45e6-9266-743e3081391c,2017-07-28 12:45:03 PM EDT,2017-07-28,2017-07-28 16:45:03 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 16:48:19 UTC,2021-02-05 20:17:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7247742,https://inaturalist-open-data.s3.amazonaws.com/photos/9363604/medium.jpeg,,"",,2,0,false,2,"Westchester County, US-NY, US",41.2201514,-73.598242,1899,,,,1899,,,false,,,purple crownvetch,Securigera varia,purple crownvetch,Plantae,127186,Securigera varia,,,
7247752,7a50d787-44e8-42fc-85be-e782bb14e9ac,2017-07-28 12:49:02 PM EDT,2017-07-28,2017-07-28 16:49:02 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 16:49:17 UTC,2021-01-31 03:03:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7247752,https://inaturalist-open-data.s3.amazonaws.com/photos/9363621/medium.jpeg,,"",,2,0,false,2,"10 Old Stone Hill Rd, Pound Ridge, NY 10576, USA",41.22234704,-73.58667016,62,,,,62,,,false,gps,gps,Echtes Herzgespann,Leonurus cardiaca,common motherwort,Plantae,56171,Leonurus cardiaca,,,
7247947,e4fd4cbd-6180-484b-90fc-192f29e4d873,2017-07-28 1:00:17 PM EDT,2017-07-28,2017-07-28 17:00:17 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 17:01:28 UTC,2022-09-10 02:05:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7247947,https://inaturalist-open-data.s3.amazonaws.com/photos/9363917/medium.jpeg,,"",,2,0,false,2,"12 Old Stone Hill Rd, Pound Ridge, NY 10576, USA",41.2223525425,-73.58498644,2064,,,,2064,,open,false,gps,gps,American white waterlily,Nymphaea odorata,American white waterlily,Plantae,51119,Nymphaea odorata,,,
7248014,71e5d433-63a5-46c6-8534-efd2ec4c7aaf,2017-07-28 1:03:02 PM EDT,2017-07-28,2017-07-28 17:03:02 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 17:07:26 UTC,2019-11-19 06:47:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7248014,https://inaturalist-open-data.s3.amazonaws.com/photos/9363925/medium.jpeg,,"",,2,0,false,2,"67 Old Stone Hill Rd, Pound Ridge, NY 10576, USA",41.2253661,-73.5750587,21,,,,21,,,false,gps,gps,common selfheal,Prunella vulgaris,common selfheal,Plantae,52764,Prunella vulgaris,,,
7248203,abe84adf-be6d-4d0a-b4d9-b5ce521af482,2017-07-28 1:24:15 PM EDT,2017-07-28,2017-07-28 17:24:15 UTC,Eastern Time (US & Canada),534996,w1llk,Will koneval,2017-07-28 17:24:35 UTC,2018-03-18 21:30:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7248203,https://inaturalist-open-data.s3.amazonaws.com/photos/9364257/medium.jpeg,,"",,3,0,false,2,"Westchester County, US-NY, US",41.2256325731,-73.5761012882,2064,,,,2064,,,false,gps,gps,sassafras,Sassafras albidum,sassafras,Plantae,54795,Sassafras albidum,,,
7402766,2e8643d1-4694-4439-b209-31c59db17e6f,2017/08/07 1:18 AM EDT,2017-08-07,2017-08-07 05:18:00 UTC,Eastern Time (US & Canada),549250,anisognathus,Richard Aracil,2017-08-08 03:29:17 UTC,2022-09-23 05:10:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7402766,https://inaturalist-open-data.s3.amazonaws.com/photos/9612813/medium.jpeg,,"",,1,0,false,,"Westchester County, NY, USA",41.2589319093,-73.5689377785,31,,,,31,,,false,,,clammy groundcherry,Physalis heterophylla,clammy groundcherry,Plantae,128768,Physalis heterophylla,,,
7402868,c242634e-f5f1-464c-b36e-dcea7f3817f3,2017/08/07 12:49 AM EDT,2017-08-07,2017-08-07 04:49:00 UTC,Eastern Time (US & Canada),549250,anisognathus,Richard Aracil,2017-08-08 03:38:59 UTC,2022-09-21 00:17:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7402868,https://inaturalist-open-data.s3.amazonaws.com/photos/9613040/medium.jpeg,,"",,2,0,false,,"Westchester County, NY, USA",41.2589745208,-73.5670387745,15,,,,15,,,false,,,Blue Curls,Trichostema dichotomum,Blue Curls,Plantae,127634,Trichostema dichotomum,,,
8061009,1ef63398-a5c6-4e82-8e61-12ae07b9b59a,2017-09-23 1:47:51 PM EDT,2017-09-23,2017-09-23 17:47:51 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2017-09-23 21:29:27 UTC,2024-10-07 16:31:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8061009,https://inaturalist-open-data.s3.amazonaws.com/photos/10681878/medium.jpeg,,"",,2,0,false,2,"Westchester County, US-NY, US",41.25961558,-73.60107852,10,,,,10,,open,false,,,gallberry,Ilex glabra,gallberry,Plantae,129347,Ilex glabra,,,
8061015,d2ece517-21b2-458c-8584-20b19046c549,2017-09-23 1:51:33 PM EDT,2017-09-23,2017-09-23 17:51:33 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2017-09-23 21:29:39 UTC,2023-07-08 12:30:54 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/8061015,https://inaturalist-open-data.s3.amazonaws.com/photos/10681890/medium.jpeg,,"",,1,0,false,2,"Westchester County, US-NY, US",41.2598356,-73.60105633,8,,,,8,,,false,,,Joe-Pye weeds,Eutrochium,Joe-Pye weeds,Plantae,85380,,,,
8630191,4b2737e4-f5b3-471b-af60-fb928a9dc792,2016/06/04 2:14 PM EDT,2016-06-04,2016-06-04 18:14:00 UTC,Eastern Time (US & Canada),690232,kristamunger,Krista Munger,2017-10-31 15:51:36 UTC,2018-06-10 16:38:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8630191,https://inaturalist-open-data.s3.amazonaws.com/photos/11549937/medium.jpg,,"",,2,0,false,,"Old Stone Hill Rd, Pound Ridge, NY 10576, USA",41.2265615,-73.5735886,187,,,,187,,,false,,,heath speedwell,Veronica officinalis,heath speedwell,Plantae,129020,Veronica officinalis,,,
9315819,1a41e649-d3bd-4728-b676-37d0eaebf78d,2017/09/21 3:51 PM EDT,2017-09-21,2017-09-21 19:51:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2017-12-31 03:04:56 UTC,2018-07-03 03:12:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9315819,https://inaturalist-open-data.s3.amazonaws.com/photos/12631059/medium.jpg,,"",,2,0,false,,"Westchester County, NY, USA",41.2355555556,-73.5805555556,,,,,,,,false,,,Indian pipe,Monotropa uniflora,Ghost Pipe,Plantae,49477,Monotropa uniflora,,,
9315820,12148803-4e25-4a4a-a4a3-fcdf9c4d4886,2017/09/21 4:27 PM EDT,2017-09-21,2017-09-21 20:27:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2017-12-31 03:04:56 UTC,2017-12-31 03:31:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9315820,https://inaturalist-open-data.s3.amazonaws.com/photos/12631079/medium.jpg,,"",,1,0,false,,"Westchester County, NY, USA",41.2338888889,-73.5816666667,,,,,,,,false,,,Starflower,Lysimachia borealis,northern starflower,Plantae,204174,Lysimachia borealis,,,
9315822,dcf3c879-4a61-4f6c-b431-983980ee191f,2017/09/21 4:38 PM EDT,2017-09-21,2017-09-21 20:38:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2017-12-31 03:04:57 UTC,2018-09-10 02:36:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9315822,https://inaturalist-open-data.s3.amazonaws.com/photos/12631086/medium.jpg,,"",,2,0,false,,"Westchester, New York, United States",41.2336111111,-73.5816666667,,,,,,,,false,,,halberd-leaved tearthumb,Persicaria arifolia,halberd-leaved tearthumb,Plantae,204177,Persicaria arifolia,,,
9544756,b16b0199-b87a-4a59-898e-970542de59c1,2017/08/06 11:40 AM EDT,2017-08-06,2017-08-06 15:40:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 02:52:43 UTC,2024-12-03 23:35:09 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/9544756,https://inaturalist-open-data.s3.amazonaws.com/photos/13021417/medium.jpg,,"",,4,0,false,,"Westchester, New York, United States",41.2586966667,-73.570765,,,,,,,,false,,,Desmodium marilandicum,Desmodium marilandicum,,Plantae,1593148,,,,
9544896,48f17295-6c5e-45ef-95bf-04aebc9fce65,2017/08/06 11:42 AM EDT,2017-08-06,2017-08-06 15:42:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:17 UTC,2022-08-11 05:24:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544896,https://inaturalist-open-data.s3.amazonaws.com/photos/13021551/medium.jpg,,"",,2,0,false,,"Westchester County, NY, USA",41.2589183333,-73.5699233333,,,,,,,,false,,,Blue Curls,Trichostema dichotomum,Blue Curls,Plantae,127634,Trichostema dichotomum,,,
9544897,e2cfddf3-4205-4655-94be-749eace0188a,2017/08/06 11:44 AM EDT,2017-08-06,2017-08-06 15:44:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:17 UTC,2023-08-02 04:59:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544897,https://inaturalist-open-data.s3.amazonaws.com/photos/13021563/medium.jpg,,"",,1,0,false,,"Westchester County, NY, USA",41.2588833333,-73.5700966667,,,,,,,,false,,,spotted St. John's wort,Hypericum punctatum,spotted St. John's wort,Plantae,132711,Hypericum punctatum,,,
9544898,408111a3-f4c4-42e1-a882-83e6978aa0db,2017/08/06 11:46 AM EDT,2017-08-06,2017-08-06 15:46:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:17 UTC,2022-09-21 00:16:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544898,https://inaturalist-open-data.s3.amazonaws.com/photos/13021569/medium.jpg,,"",,2,0,false,,"Westchester County, NY, USA",41.2589583333,-73.5698,,,,,,,open,false,,,sensitive pea,Chamaecrista nictitans,sensitive pea,Plantae,131568,Chamaecrista nictitans,,,
9544899,a2a44e73-edd9-40d2-8ed8-7d3c38ffdca1,2017/08/06 11:51 AM EDT,2017-08-06,2017-08-06 15:51:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:18 UTC,2018-01-21 10:53:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544899,https://inaturalist-open-data.s3.amazonaws.com/photos/13021573/medium.jpg,,"",,2,0,false,,"Westchester County, NY, USA",41.2587666667,-73.568695,,,,,,,,false,,,common soapwort,Saponaria officinalis,common soapwort,Plantae,56154,Saponaria officinalis,,,
9544904,a905c055-b133-42da-91f0-82ed3de7bb06,2017/08/06 11:53 AM EDT,2017-08-06,2017-08-06 15:53:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:19 UTC,2018-01-21 12:04:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544904,https://inaturalist-open-data.s3.amazonaws.com/photos/13021592/medium.jpg,,"",,2,0,false,,"Westchester County, NY, USA",41.2587633333,-73.5684983333,,,,,,,open,false,,,butterfly milkweed,Asclepias tuberosa,butterfly milkweed,Plantae,47912,Asclepias tuberosa,,,
9544905,f97477b6-913a-451e-a135-58ca617bc5e0,2017/08/06 12:02 PM EDT,2017-08-06,2017-08-06 16:02:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:19 UTC,2020-12-29 14:49:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544905,https://inaturalist-open-data.s3.amazonaws.com/photos/13021596/medium.jpg,,"",,4,0,false,,"Westchester, New York, United States",41.2588933333,-73.566585,,,,,,,,false,,,spotted wintergreen,Chimaphila maculata,striped wintergreen,Plantae,82358,Chimaphila maculata,,,
9544906,ee14fb9b-fbab-43ff-bff9-f4b7f1372ce1,2017/08/06 12:13 PM EDT,2017-08-06,2017-08-06 16:13:00 UTC,Eastern Time (US & Canada),192963,er1kksen,Erik Danielsen,2018-01-21 03:03:19 UTC,2018-02-20 23:43:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9544906,https://inaturalist-open-data.s3.amazonaws.com/photos/13021598/medium.jpg,,"",,1,0,false,,"Westchester County, NY, USA",41.258865,-73.5663266667,,,,,,,open,false,,,eastern hemlock,Tsuga canadensis,eastern hemlock,Plantae,48734,Tsuga canadensis,,,
